file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$OverwrittenOptionException,innerclass,3,3,0,3,2,6,0,0,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,0,11,1,0,0,0,0,0,1,2,0,2,0,0,0,0,38,9,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,innerclass,13,13,0,13,14,1,0,13,10,0.6666667,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,0,4,0,2,0,5,48,1,3,0,0,0,6,1,6,1,6,2,0,0,0,120,9,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$ParseResult$GroupValidationResult$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$ColorScheme,innerclass,9,9,0,9,43,1,0,39,59,0.74879235,0.0,0.0,23,0,22,0,0,1,23,0,0,0,9,1,0,9,0,0,9,0,14,236,27,1,10,0,3,19,14,28,19,18,2,1,1,0,169,9,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$BuiltIn$BigIntegerConverter,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Model$PicocliInvocationHandler,innerclass,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,20,1,0,0,0,0,0,0,1,0,1,0,0,1,0,9,10,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$BuiltIn$PatternConverter,innerclass,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Model$PositionalParamSpec,innerclass,8,8,0,8,18,3,0,11,40,0.6666667,0.0,0.0,13,3,9,3,1,0,10,0,0,0,3,0,0,3,0,0,0,0,7,101,13,0,4,0,1,4,2,6,6,4,1,0,1,0,208,9,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$BuiltIn$ShortConverter,innerclass,3,3,0,3,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,13,8,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help,innerclass,39,39,0,39,187,2,0,223,1446,0.88257575,0.0,0.0,88,21,55,19,7,7,69,0,0,0,9,2,2,5,2,0,7,0,63,1828,94,25,19,1,7,49,61,113,26,88,6,1,18,0,813,9,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$BuiltIn$StringConverter,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$MinimalParameterRenderer,innerclass,6,6,0,6,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,2,0,0,0,0,0,0,0,34,8,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$NoVersionProvider,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Ansi$IStyle,interface,0,0,0,0,2,1,0,0,1,1.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,21,1,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Ansi$Palette256Color,innerclass,2,2,0,2,11,1,0,3,0,0.1,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,2,0,5,33,6,0,4,0,3,3,12,5,11,4,1,0,0,0,31,8,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$BuiltIn$DoubleConverter,innerclass,3,3,0,3,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7,8,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$ParseResult$GroupMatchContainer$Anonymous28,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,1,0,0,0,0,0,10,-1,0
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.3.2\src\main\java\picocli\CommandLine.java,picocli.CommandLine$RunAll,innerclass,9,9,0,9,11,3,0,12,15,0.0,0.0,0.0,6,0,1,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,37,7,3,0,0,0,1,0,1,0,1,1,0,0,0,130,9,0
